id,name,description,imageUrl,isVeg,isAvailable,sortOrder,categoryId,restaurantId,createdAt,updatedAt,menuType,deletedAt,isDeleted,basePrice
183dedc3-580c-4a0d-94f8-ce93c5e0a36d,Chicken Curry,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779650609/uydebdguvix2rr7obzfp.jpg,false,true,3,b32ca543-4a1e-4be6-bbd9-b836cb53d794,bar-001,2026-05-31 04:39:49.166,2026-05-31 04:52:16.089,FOOD,null,false,0.00
b39526a5-f59d-41cb-ac65-8f6701edc00f,Veg Sweet Corn Soup 1/2,null,null,true,true,3,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:11.28,2026-06-02 05:14:11.28,FOOD,null,false,0.00
6f9ba3e4-9f61-41e7-ba55-a28cadc08b87,Dragon Chicken,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647460/jfykqb04t5ugdxv1ljpy.jpg,false,true,14,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:36.468,2026-05-31 04:51:04.968,FOOD,null,false,0.00
4f732827-7c0a-41d9-98f1-854bc9c5b7d9,VEG MANCHOW SOUP,null,null,true,true,4,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:12.209,2026-06-02 05:14:12.209,FOOD,null,false,0.00
a7fd7853-0850-487e-884a-5272fb8a68ea,Chicken Lollipop,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647699/nbeua4yv4iqgz2lobz0q.jpg,false,true,15,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:36.806,2026-05-31 04:51:06.132,FOOD,null,false,0.00
9ad1b36f-0138-4d51-bdd2-98d39faea326,Veg Manchow 1/2,null,null,true,true,5,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:13.137,2026-06-02 05:14:13.137,FOOD,null,false,0.00
b1a470c7-0581-48f4-a336-b7702b9c2017,VEG HOT AND SOUR SOUP,null,null,true,true,6,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:14.068,2026-06-02 05:14:14.068,FOOD,null,false,0.00
c01ff5c8-bd54-4723-8633-4767c84d1aa9,Veg Hot And Sour Soup 1/2,null,null,true,true,7,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:14.997,2026-06-02 05:14:14.997,FOOD,null,false,0.00
01a319f3-23b5-4c67-8652-322e5189f9a3,Chicken Drums,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647620/d9vbvb0jsmjr5npjajqw.jpg,false,true,16,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:37.138,2026-05-31 04:51:07.297,FOOD,null,false,0.00
e4b649d0-fcbc-4fbe-938d-9e38f2a6cb86,VEG DRAGON SOUP,null,null,true,true,8,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:15.926,2026-06-02 05:14:15.926,FOOD,null,false,0.00
3bc4bd48-f2d9-47d4-a98c-6d9107271bfb,Veg Dragon Soup 1/2,null,null,true,true,9,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:16.855,2026-06-02 05:14:16.855,FOOD,null,false,0.00
3fcbadc1-3939-42e5-b2f9-c6b622431f76,CHICKEN LUNGGUNG SOUP,null,null,false,true,0,af4cd20f-9ff8-48d1-a84e-22b6d114d60b,bar-001,2026-06-02 05:14:17.971,2026-06-02 05:14:17.971,FOOD,null,false,0.00
5cf6cf75-1fe6-42ad-a57b-63e9ebff4b83,LOOSE PRAWNS,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647856/ryb2vo7zpx9pctsosc5p.jpg,false,true,22,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:39.773,2026-06-01 22:03:04.512,FOOD,null,false,0.00
7150f6da-deaf-4565-ab2c-ad94a4053708,Golden Fried Prawns,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647890/mjsllkhw0rrdqwlmnesw.jpg,false,true,23,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:40.087,2026-05-31 04:51:09.628,FOOD,null,false,0.00
e90423ba-824f-4149-a00d-b89a8dc0c185,DRAGON PRAWNS,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647946/ggynedahqr1lrkhxvwqt.jpg,false,true,24,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:40.386,2026-06-01 22:03:06.151,FOOD,null,false,0.00
ec645354-0f23-49c0-ab48-dc7462525516,VELVET PRAWNS,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779647973/jctjuajhmp6c4lxku8dk.jpg,false,true,25,4edecf56-2058-40be-baf3-07fabb695767,bar-001,2026-05-31 04:39:40.673,2026-06-01 22:03:06.662,FOOD,null,false,0.00
112e64a4-a070-46b1-acc9-893189ff51aa,V GRAND SPL CREAM OF CHICKEN SOUP,null,null,false,true,1,af4cd20f-9ff8-48d1-a84e-22b6d114d60b,bar-001,2026-06-02 05:14:18.899,2026-06-02 05:14:18.899,FOOD,null,false,0.00
f2d2191e-98e9-4c92-bc72-b9783c038dea,Chicken Sweet Corn Soup 1/2,null,null,false,true,2,af4cd20f-9ff8-48d1-a84e-22b6d114d60b,bar-001,2026-06-02 05:14:19.827,2026-06-02 05:14:19.827,FOOD,null,false,0.00
b5f42059-81a0-4d29-96db-7874f8dd4a2d,STERLING RESERVEB10 30ML,null,null,true,true,402,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:39.857,2026-06-01 22:04:04.993,LIQUOR,null,false,0.00
4cef6987-f1f7-4234-91b6-910b751c72d6,WATER BOTTLE 1Ltr,null,null,true,true,386,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:30.11,2026-06-01 22:03:56.029,FOOD,null,false,0.00
7029cf08-8c1d-4774-bf38-49aecf105c47,MORPHEUS XO BLENDED RESERVED 30ML,null,null,true,true,393,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:34.36,2026-06-01 22:03:59.674,LIQUOR,null,false,0.00
f9c41228-810c-4bc8-b02f-46457ea4ed62,CHICKEN CURRY BONES,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779650532/hg1hx3j98xf6avnlef8y.jpg,true,true,249,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:17:52.991,2026-06-01 22:05:06.985,FOOD,null,false,0.00
d026f18f-d677-43b1-9058-b32b126e87cf,Moghalai Chicken Biryani,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648478/s9zukyb0kc1ykmuow8ce.jpg,false,true,9,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:58.818,2026-05-31 04:51:13.133,FOOD,null,false,0.00
bddbe4bd-c240-4aab-a7ef-c3f972a07048,Dilkush Biryani,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648741/i0bdueba6jaouitbhgby.jpg,false,true,10,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:59.129,2026-05-31 04:51:14.299,FOOD,null,false,0.00
404758b2-4e2d-4ce1-b14b-1879de44cc42,RAMBO BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648741/i0bdueba6jaouitbhgby.jpg,false,true,11,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:59.435,2026-06-01 22:03:23.675,FOOD,null,false,0.00
695c18f6-c973-402d-bdcb-9d7fdb303937,RAJU GARI BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779649336/yijjssvlynjsjb4mn68j.jpg,false,true,12,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:59.781,2026-06-01 22:03:23.153,FOOD,null,false,0.00
426c1e13-02f5-4a10-bea2-b02ede51ff96,Tikka Biryani,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648583/nc3cragx24jywkdpovgf.jpg,false,true,13,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:40:00.324,2026-05-31 04:51:18.026,FOOD,null,false,0.00
f3fc5ce9-6019-4e2e-9cf4-5c297bca9053,PRAWNS BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648710/qygarx4aprdwieo2hqfi.jpg,false,true,14,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:40:00.632,2026-06-01 22:03:08.23,FOOD,null,false,0.00
