,,,,,,
,,,,,,
,,Bar Ac Hall,Conference Hall,pdr,rooms,parcel
,William Lawsons 750Ml,0.00,0.00,0.00,0.00,2200.00
,Black Label 750Ml,0.00,0.00,0.00,0.00,5050.00
,100 Pipers 750Ml,0.00,0.00,4500.00,0.00,2520.00
,Morpheus Blue 750Ml,0.00,0.00,0.00,0.00,1360.00
,Cnb Green 180Ml,0.00,0.00,0.00,0.00,310.00
,Cnb Green 750Ml,0.00,0.00,0.00,0.00,1200.00
,Cnb Red 180Ml,0.00,0.00,0.00,0.00,240.00
,Cnb Red 750Ml,0.00,0.00,0.00,0.00,940.00
,Signature 180Ml,0.00,0.00,0.00,0.00,330.00
,Signature 750Ml,0.00,0.00,0.00,0.00,1340.00
,Old Monk 750Ml,0.00,0.00,0.00,0.00,850.00
,B7 Whisky 750Ml,0.00,0.00,0.00,0.00,730.00
,B10 Whisky 750Ml,0.00,0.00,0.00,0.00,1240.00
,CHICKEN CURRY BONES,350.00,370.00,400.00,370.00,350.00
,Oc Whisky 180Ml,0.00,0.00,0.00,0.00,170.00
,Hydarabad Blue 180Ml,0.00,0.00,0.00,0.00,170.00
,Whytehall 180Ml,0.00,0.00,0.00,0.00,170.00
,Chivas Regal 750Ml,0.00,0.00,0.00,0.00,5240.00
,Black & Gold 750Ml,0.00,0.00,0.00,0.00,730.00
,Mc Vsop 750Ml,0.00,0.00,0.00,0.00,730.00
,Britesh Wh 750Ml,0.00,0.00,0.00,0.00,890.00
,Kyra Wine 750Ml,0.00,0.00,0.00,0.00,830.00
,Sidus Wine 750Ml,0.00,0.00,0.00,0.00,640.00
,Elite Wine 750Ml,0.00,0.00,0.00,0.00,830.00
,Im Whisky 180Ml,0.00,0.00,0.00,0.00,220.00
,Im Whisky 375Ml,0.00,0.00,0.00,0.00,390.00
,Im Whisky 750Ml,0.00,0.00,0.00,0.00,740.00
,Indian Non Veg Plater,0.00,0.00,999.00,0.00,0.00
,Tandoori Non Veg Plater,0.00,0.00,999.00,0.00,0.00
,Cheness Non Veg Plater,0.00,0.00,999.00,0.00,0.00
,Gongura Prawns Biryani,460.00,480.00,510.00,480.00,460.00
,Carrot Salad,120.00,130.00,0.00,130.00,130.00
,Friut Salad,149.00,149.00,170.00,149.00,149.00
,Cashew Mushroom Curry,310.00,330.00,360.00,330.00,310.00
,Mutton Fry Biryani Family Pack,1200.00,1250.00,1310.00,1250.00,1200.00
,Antiquity 750Ml,0.00,0.00,0.00,0.00,1430.00
,Cashew Tomato Curry,310.00,330.00,360.00,330.00,310.00
,Kalyani Beer 650Ml,330.00,350.00,360.00,350.00,180.00
,Stok Strong Beer,350.00,370.00,380.00,370.00,220.00
,Stok Leger Beer,350.00,370.00,380.00,370.00,220.00
,Projecter 4,0.00,3000.00,0.00,0.00,0.00
,Other Charges,0.00,700.00,0.00,0.00,0.00
,Cocktail 599,599.00,599.00,0.00,599.00,0.00
,ANDHRA CHICKEN CURRY BONES,350.00,370.00,400.00,370.00,350.00
,KADAI CHICKEN CURRY BONES,350.00,370.00,400.00,370.00,350.00
,GONGURA CHICKEN CURRY BONES,370.00,390.00,420.00,390.00,370.00
,BUTTER CHICKEN CURRY BONES,370.00,390.00,420.00,390.00,370.00
,CHICKEN TIKKA MASALA BONES,380.00,400.00,430.00,400.00,380.00
,PRAWNS FRY,430.00,450.00,480.00,450.00,430.00
,FRENCH FRIES,200.00,220.00,240.00,220.00,200.00
,FISH FRY B/L,410.00,430.00,460.00,430.00,410.00
,FISH ROAST BONES,410.00,430.00,460.00,430.00,410.00
,PUCKET FISH B/L,370.00,390.00,430.00,390.00,370.00
,CHILLI FISH B/L,370.00,390.00,420.00,390.00,370.00
,APOLLO FISH B/L,380.00,400.00,430.00,400.00,380.00
,VELVET FISH B/L,370.00,390.00,430.00,390.00,370.00
,FISH CURRY B/L,380.00,400.00,430.00,400.00,380.00
,FISH PULUSU BONES,410.00,430.00,460.00,430.00,410.00
,FISH BIRYANI,390.00,410.00,440.00,410.00,390.00
,CHILLI PRAWNS,430.00,450.00,480.00,450.00,430.00
,CRISPY CORN,200.00,220.00,250.00,220.00,200.00
,LOOSE PRAWNS,430.00,450.00,480.00,450.00,430.00
,GOLDEM FRIED PRAWNS,430.00,450.00,480.00,450.00,430.00
,PRAWNS 85,430.00,450.00,480.00,450.00,430.00
,DRAGON PRAWNS,430.00,450.00,480.00,450.00,430.00
,VELVET PRAWNS,460.00,480.00,510.00,480.00,460.00
,PRAWNS CURRY,430.00,450.00,480.00,450.00,430.00
,GONGURA PRAWNS CURRY,430.00,450.00,480.00,450.00,430.00
,PRAWNS BIRYANI,460.00,480.00,510.00,480.00,460.00
,MUTTON FRY BONES,480.00,500.00,530.00,500.00,480.00
,MUTTON KEEMA BALLS B/L,520.00,540.00,570.00,540.00,520.00
,Alu 65,220.00,240.00,270.00,240.00,220.00
,PEPPER MUTTON BONES,520.00,540.00,570.00,540.00,520.00
,BASKET MUTTON BONES,520.00,540.00,570.00,540.00,520.00
,MUTTON CURRY BONES,480.00,500.00,530.00,500.00,480.00
,ANDHRA MUTTON CURRY BONES,520.00,540.00,570.00,540.00,520.00
,KADAI MUTTON CURRY BONES,520.00,540.00,570.00,540.00,520.00
,GONGURA MUTTON CURRY BONES,520.00,540.00,570.00,540.00,520.00
,MUTTON KHEEMA CURRY,520.00,540.00,570.00,540.00,520.00
,MUTTON FRY PICE BIRYANI,530.00,550.00,580.00,550.00,530.00
,MUTTON KEEMA BIRYANI,530.00,550.00,580.00,550.00,530.00
,MUTTON DUM BIRYANI,530.00,550.00,580.00,550.00,530.00
,GOBI 65,220.00,240.00,270.00,240.00,220.00
,GONGURA MUTTON BIRYANI,530.00,550.00,580.00,550.00,530.00
,ULAVACHARU MUTTON BIRYANI,530.00,550.00,580.00,550.00,530.00
,BONELESS CHICKEN BIRYANI,330.00,350.00,380.00,350.00,330.00
,MOGHALAI CHICKEN BIRYAI B/L,410.00,430.00,460.00,430.00,410.00
,DILKUSH BIRYANI B/L,410.00,430.00,460.00,430.00,410.00
,TIKKA BIRYANI B/L,410.00,430.00,460.00,430.00,410.00
,AVAKAYA CHICKEN BIRYANI B/L,330.00,350.00,380.00,350.00,330.00
,CHICKEN FRY PICE BIRYANI,330.00,350.00,380.00,350.00,330.00
,CHICKEN DUM BIRYANI,330.00,350.00,380.00,350.00,330.00
,LOLLIPOP BIRYANI,350.00,370.00,400.00,370.00,350.00
,CHILLI GOBI,200.00,220.00,250.00,220.00,200.00
,RAJU GARI BIRYANI,410.00,430.00,460.00,430.00,410.00
,RAMBO BIRYANI,400.00,430.00,460.00,430.00,410.00
,WINGS BIRYANI,390.00,410.00,440.00,410.00,390.00
,TANDOORI BIRYANI,420.00,440.00,470.00,440.00,420.00
,RANGAMMA GARI KODI PULAO,450.00,470.00,500.00,470.00,450.00
,GONGURA CHICKEN BIRYANI BONES,330.00,350.00,380.00,350.00,330.00
,AVAKAYA CHICKEN BIRYANI BONES,330.00,350.00,380.00,350.00,330.00
,ULAVACHARU CHICKEN BIRYANI,410.00,430.00,460.00,430.00,410.00
,TANGADI KABAB HALF,280.00,300.00,330.00,300.00,280.00
,TANGADI KABAB FULL,500.00,520.00,550.00,520.00,500.00
,GOBI MANCHURIAN,230.00,250.00,280.00,250.00,230.00
,TANDOORI CHICKEN HALF,390.00,410.00,440.00,410.00,390.00
,TANDOORI CHICKEN FULL,640.00,660.00,390.00,660.00,640.00
,CHICKEN TIKKA,340.00,360.00,390.00,360.00,340.00
,HARAYALI CHICKEN TIKKA,340.00,360.00,390.00,360.00,340.00
,RESHMI KABAB,420.00,440.00,470.00,440.00,420.00
,MURG MALAI KABAB,390.00,410.00,440.00,410.00,390.00
,KALMI KABAB,380.00,400.00,430.00,400.00,380.00
,V GRAND SPL TANDOORI PLATTER,620.00,640.00,670.00,640.00,620.00
,TODAY SPL TANDOORI,410.00,430.00,460.00,430.00,410.00
,VEG MANCHURIAN,230.00,250.00,280.00,250.00,230.00
,PULKA,50.00,60.00,70.00,60.00,50.00
,PLAIN ROTI,65.00,75.00,95.00,75.00,65.00
,BUTTER ROTI,80.00,90.00,110.00,90.00,80.00
,PLAIN NAAN,65.00,75.00,95.00,75.00,65.00
,BUTTER NAAN,80.00,90.00,110.00,90.00,80.00
,METHI NAAN,85.00,95.00,115.00,95.00,85.00
,METHI PAROTA,85.00,95.00,115.00,95.00,85.00
,GARLIC NAAN,85.00,95.00,115.00,95.00,85.00
,PANEER KULCHA,95.00,105.00,125.00,105.00,95.00
,MASALA KULCHA,90.00,100.00,120.00,100.00,90.00
,VEG SPRING ROLLS,260.00,280.00,310.00,280.00,260.00
,WHITE RICE,130.00,150.00,180.00,150.00,130.00
,CURD RICE,170.00,190.00,220.00,190.00,170.00
,SPL CURD RICE,190.00,210.00,240.00,210.00,190.00
,VEG FRIED RICE,250.00,270.00,300.00,270.00,250.00
,JEERA RICE,260.00,280.00,300.00,270.00,260.00
,SHEZWAN VEG FRIED RICE,280.00,300.00,330.00,300.00,280.00
,MUSHROOM FRIED RICE,300.00,320.00,350.00,320.00,300.00
,PANEER FRIED RICE,280.00,300.00,330.00,300.00,280.00
,EGG FRIED RICE,270.00,290.00,320.00,290.00,270.00
,SCHZWAN EGG FRIED RICE,280.00,300.00,330.00,300.00,280.00
,VEG SWEET CORN SOUP,160.00,180.00,210.00,180.00,160.00
,BABY CORN 65,260.00,280.00,310.00,280.00,260.00
,CHICKEN FRIED RICE,310.00,330.00,360.00,330.00,310.00
,SCHZWAN CHICKEN FRIED RICE,320.00,340.00,370.00,340.00,320.00
,V GRAND SPL CHICKEN FRIED RICE,340.00,360.00,390.00,360.00,340.00
,VEG NOODLES,260.00,280.00,310.00,280.00,260.00
,SHEZWAN VEG NOODLES,280.00,300.00,330.00,300.00,280.00
,MUSHROOM NOODLES,280.00,300.00,330.00,300.00,280.00
,PANEER NOODLES,280.00,300.00,330.00,300.00,280.00
,EGG NOODLES,280.00,300.00,330.00,300.00,280.00
,SCHZWAN EGG NOODLES,300.00,320.00,350.00,320.00,300.00
,CHICKEN NOODLES,300.00,320.00,350.00,320.00,300.00
,BABY CORN MANCHURIAN,260.00,280.00,310.00,280.00,260.00
,SCHZWAN CHICKEN NOODLES,320.00,340.00,370.00,340.00,320.00
,WATER BOTTLE 1Ltr,25.00,30.00,30.00,25.00,25.00
,BOILED CORN MASALA,220.00,240.00,270.00,240.00,220.00
,BOILED CORN,200.00,220.00,250.00,220.00,200.00
,COURIER NAPOLEAN RED 30ML,62.00,72.00,0.00,72.00,0.00
,CHILLI BABY CORN,270.00,290.00,320.00,290.00,270.00
,COURIER NAPOLEAN GREEN 30ML,78.00,88.00,0.00,88.00,0.00
,KYRON RARE BRANDY 30ML,73.00,83.00,0.00,83.00,0.00
,MORPHEUS XO BLENDED RESERVED 30ML,71.00,81.00,85.00,81.00,0.00
,BLACK & GOLD VSOP 30ML,52.00,62.00,65.00,62.00,0.00
,BOLS BRANDY 30ML,98.00,98.00,0.00,98.00,0.00
,MANSION HOUSE 30ML,58.00,68.00,70.00,68.00,37.00
,VEG BULLETS,220.00,240.00,270.00,240.00,220.00
,MANSION HOUSE ORANGE 30ML,63.00,73.00,0.00,73.00,0.00
,ZEUS BRANDY 30ML,103.00,103.00,0.00,103.00,0.00
,STERLING RESERVE B7 30ML,59.00,69.00,0.00,69.00,0.00
,SEGRAMS BLENDERS PRIDE 30ML,100.00,100.00,0.00,100.00,0.00
,STERLING RESERVEB10 30ML,82.00,92.00,0.00,92.00,0.00
,CRISPY BABY CORN,220.00,240.00,270.00,240.00,220.00
,8PM PREMIUM BLACK 30ML,59.00,69.00,0.00,69.00,0.00
,ARISTO PREMIUM SUPERIOR 30ML,78.00,78.00,0.00,78.00,0.00
